start_article_title,starter_article_url,selection_strat,hops_to_phil
Church of Our Lady of Sarl�s,https://en.wikipedia.org/wiki/Church_of_Our_Lady_of_Sarl%C3%B3s,EMBEDDING_WORD2VEC,8

United States Society for Education through Art,https://en.wikipedia.org/wiki/United_States_Society_for_Education_through_Art,WORDNET,8

United States Society for Education through Art,https://en.wikipedia.org/wiki/United_States_Society_for_Education_through_Art,NTH_LINK(1),18

United States Society for Education through Art,https://en.wikipedia.org/wiki/United_States_Society_for_Education_through_Art,EMBEDDING_WORD2VEC,3

Yukinoyama Kofun,https://en.wikipedia.org/wiki/Yukinoyama_Kofun,WORDNET,4

Yukinoyama Kofun,https://en.wikipedia.org/wiki/Yukinoyama_Kofun,NTH_LINK(1),29

Yukinoyama Kofun,https://en.wikipedia.org/wiki/Yukinoyama_Kofun,EMBEDDING_WORD2VEC,8

Jesse Prinz,https://en.wikipedia.org/wiki/Jesse_Prinz,WORDNET,1

Jesse Prinz,https://en.wikipedia.org/wiki/Jesse_Prinz,NTH_LINK(1),1

Jesse Prinz,https://en.wikipedia.org/wiki/Jesse_Prinz,EMBEDDING_WORD2VEC,1

Ethel Tracy Richardson,https://en.wikipedia.org/wiki/Ethel_Tracy_Richardson,WORDNET,10

Ethel Tracy Richardson,https://en.wikipedia.org/wiki/Ethel_Tracy_Richardson,NTH_LINK(1),23

Ethel Tracy Richardson,https://en.wikipedia.org/wiki/Ethel_Tracy_Richardson,EMBEDDING_WORD2VEC,5

